product_id	product_name	product_class	category_hierarchy	product_features
5605	zen closet dry wet clothes amphibious light weight abs hangers with non-slip shoulder design , steel swivel hooks , value pack - set of 120 , green	Hangers	Storage & Organization / Closet Storage & Organization / Hangers	location : indoor use only|numberofhangersincluded:30|numberofhangersincluded:120|overallwidth-sidetoside:15|pattern : solid color|construction : machine made|productresistances : neither water or fade resistant|technique : power loom|producttype : standard hanger|supplierintendedandapproveduse : non residential use|productcare : professional cleaning|dsmetallic : steel|rugshape : rectangle|primarycolor : black|material : plastic|holidayoccasion : no holiday|primarycolor : light blue/green|rugsize:1|pileheight:1|overalllength-endtoend:1|reversible : no|uniformpackagingandlabelingregulationsupl
16119	owls nameplates	Teacher Resources	Learning Resources	piecesincluded:216 nameplates|primarymaterial : paper|supplierintendedandapproveduse : non residential use|countryoforigin : united states|overallproductweight:3.3|subject : language arts|overallheight-toptobottom:9.5|overallwidth-sidetoside:2.88|overalldepth-fronttoback:1.86|producttype : educational accessory|countryoforigin-additionaldetails : made in usa|canadaproductrestriction : no|scscertified : no|commercialwarranty : no| : no|toysafetywarningrequired : no|firerated : no|outdooruse : no|installationrequired : no|uniformpackagingandlabelingregulationsuplrcompliant : no|productwarranty :
32744	monterey water resistant 11 piece patio sofa cover set	Furniture Covers	Storage & Organization / Garage & Outdoor Storage & Organization / Outdoor Covers / Patio Furniture Covers / Chair Patio Furniture Covers	fastener : tie|furnituretype : patio table|overallproductweight:33|productcare : wipe clean with a dry cloth|durability : uv resistant|durability : weather resistant|piecesincluded:4 armless sofa covers , 3 corner sofa covers , 2 storage coffee covers and 2 club chair covers|furnituretype : patio chair|furnituretype : patio sofa|durability : water resistant|vented : no|commercialwarranty : no|lined : no| : no|ista3aor6acertified : no|reinforcedseams : yes|countryoforigin : china|supplierintendedandapproveduse : residential use
12253	sydney kitchen cart with butcher block top		Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts / Kitchen Carts Kitchen Islands & Carts	countermaterialdetails : rubber wood|countertopwidth-sidetoside:24|drawerinteriorwidth-sidetoside:15|countryoforigin : viet nam|countertopthickness:1.5|overallwidth-sidetoside:30.5|countertopdepth-fronttoback:24|overalldepth-fronttoback:24|counterfinish : natural|widthexcludingsideattachments-sidetoside:24|dswoodtone : light wood|basecolor : white|weightcapacityshell:100-150 lbs|overallproductweight:82|overallheight-toptobottom:35|shape : square|drawerinteriordepth-fronttoback:16|basematerial : solid wood|warrantylength:1 year|producttype : kitchen cart|distancebetweenshelves:11|shelfwidth-sid
3044	ayesha curry stainless steel 2-piece non-stick skillet set	Skillets & Fry Pans	Kitchen & Tabletop / Cookware & Bakeware / Pots, Pans & Skillets / Frying Pans & Skillets / Dishwasher Safe Frying Pans & Skillets	maximumtemperature:500|shape : round|primarymaterial : stainless steel|stovetypecompatibility : induction|overallheight-toptobottom:4.5|color : silver/brown|productcare : dishwasher safe|stovetypecompatibility : electric : coil or plate|lengthincludinghandle:19.35|overallproductweight:4.5|stovetypecompatibility : gas|producttype : skillet set |handlematerialtype : stainless steel|stovetypecompatibility : electric : smooth top|ptfefree : no|grillsafe : no|cooltouchhandles : no|enameled : no|californiaproposition65warningrequired : no|nsfcertified : no|stackablespacesaving : no|lidsincluded : no
34910	christmas tree storage bag	Holiday Decor Storage	Holiday Décor / Christmas / Christmas Storage	productcare : wipe clean with a damp cloth|moistureresistantdetails : moisture resistant material|overallwidth-sidetoside:48|storagefeatures : reinforced handles|holidayoccasion : christmas|overallheight-toptobottom:25|productcolor : red|producttype : tree storage|storagefeatures : zipper closure|storagefeatures : moisture resistant|overallheight-toptobottom:20|overallwidth-sidetoside:52|overallwidth-sidetoside:65|productcolor : green|piecesincluded:2 tree storage bags|storagefeatures : tear-proof|primarymaterialdetails : polypropylene|primarymaterial : plastic|overalldepth-fronttoback:15|over
4137	natazhat bohemian bedroom decor boho wall decal	Wall Stickers	Décor & Pillows / Wall Décor / Wall Decals	lifestage : adult|material : vinyl|warrantylength:5 years|overallheight-toptobottom:22|dssecondaryproductstyle : classic boho|holidayoccasion : no holiday|overallproductweight:0.8|dsprimaryproductstyle : boho|gender : neutral|applicationtype : self-adhesive|countryoforigin : united states|textureandfinish : matte|producttype : wall decal|style : traditional|compatiblesurfacetype : flat surface|overallwidth-sidetoside:22|stickerpiececount:1|californiaproposition65warningrequired : no|pasteincluded : no|personalization : no|reusable : no|transparent : no|removable : yes|heatresistant : yes|phtha
26075	mitzi 5 piece pub table set	Dining Table Sets	Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Room Sets / 5 Piece Kitchen & Dining Room Sets	tabletopmaterial : solid wood|tablebasetype : four leg|seatingcolor : black|overallchairweight:35|seatingmaterial : wood|chairseatheightfloortoseat:28|dswoodtone : medium wood|countryoforigin : united states|tableshape : rectangular|chairdepth-fronttoback:18|basematerialdetails : hand worked steel|weightcapacity:400|overalltableweight:125|overalltableheight-toptobottom:37.25|numberofitemsincluded:5|seatingcapacity:4|overalltablewidth-sidetoside:22|topwoodspecies : pine|seatbackheight-seattotopofback:30|tabletopcolor : brown|chairheight-toptobottom:36|style : industrial|numberofchairsincluded:4
12208	ambesonne ships wheel tapestry , nautical patchwork pattern rope starfish sailing ship anchor and helm , fabric wall hanging decor for bedroom living room dorm , 28 '' x 23 '' , turquoise navy	Tapestries and Wall Hangings	Décor & Pillows / Wall Décor / Tapestries / Blue Tapestries	overallproductweight:0.12|supplierintendedandapproveduse : non residential use|overallproductweight:0.27|productcare : easy care - machine washable on cold/delicate cycle . dryer safe on low heat . iron on low . no fading.|overallwidth-sidetoside:28|washingmethod : machine wash|printingmethod : machine printed|overallheight-toptobottom:23|overallheight-toptobottom:30|weavingmethod : machine|color : multicolor|hangingmethod : pushpins|washingmethod : hand wash|primarymaterial : microfiber|producttype : tapestry|season : no season|overallwidth-sidetoside:45|holidayoccasion : no holiday| : no|rod
34736	8 piece dinosaur standup set	Life Size Cutouts	Furniture / Game Tables & Game Room Furniture / Sports Team Fan Shop & Memorabillia / Life Size Cutouts / Dinosaurs Life Size Cutouts	countryoforigin : united states|overallproductweight:0.22|subject : dinosaur|lifestage : kid|mounttype : stand-up|primarymaterial : cardboard|overallwidth-sidetoside:12.125|finish : green/brown|overallheight-toptobottom:19.5|holidayoccasion : no holiday|overalldepth-fronttoback:0.063|californiaproposition65warningrequired : no| : no
32540	arendale gold rim 12 piece dinnerware set , service for 4	Dinnerware Sets & Place Settings	Kitchen & Tabletop / Tableware & Drinkware / Dinnerware / Dinnerware Sets / Porcelain Dinnerware Sets	numberofsaladplates:4|bowltype : soup bowl|primarymaterial : porcelain china|saladplatewidth-sidetoside:7.5|servicefor:4|finish : gloss|setincludes:4 dinner plates , 4 salad plates , and 4 soup bowls|dinnerplatewidth-sidetoside:10|soupbowlcapacity:8.0|rimdetail : gold rim|numberofdinnerplates:4|platetypes : salad plate|platetypes : dinner plate|pattern : solid color|color : white/gold|soupbowlweight:0.25|saladplateheight:0.25|saladplateweight:0.8|overallproductweight:9.6|mainplateshape : round|holidayoccasion : no holiday|numberofsoupbowlsincluded:4|dinnerplateheight:0.25|soupbowlheight-toptob
7462	8 3/4 '' center finger pull multipack	Cabinet and Drawer Pulls	Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Pulls / Silver Cabinet & Drawer Pulls	theme : does not apply|overallproductweight:3|pulltype : finger pull|numberofpulls:10|overallwidth:0.5|finish : aluminum matte|overalllength:12|countryoforigin-additionaldetails : values do not apply|warrantylength : lifetime|resistancetype : rust resistant|centertocenter:8.75|supplierintendedandapproveduse : non residential use|warrantydetails : replacement|materialdetails : aluminum|primarymaterialdetails : aluminum|overallprojection:1|numberofinstallationholes:2|canadaproductrestriction : no|handpainted : no|adacompliant : no|csacertified : no|uniformpackagingandlabelingregulationsuplrcompl
25020	rowan valley arden changing table topper	Changing Table Toppers	Baby & Kids / Nursery Furniture / Changing Table Toppers	additionaltoolsrequirednotincluded : hammer|estimatedtimetosetup:60|overallwidth-sidetoside:18.12|additionaltoolsrequirednotincluded : screw driver|changingpadareawidth-sidetoside:16.87|color : gray|compatibledresserpartnumber:9190412com|levelofassembly : full assembly needed|countryoforigin-additionaldetails : united states|changingpadareaheight-toptobottom:3|reasonforrestriction : logistics|productcare : do not use harsh chemicals or abrasive cleaners on this item|overallheight-toptobottom:3.81|warrantydetails : little seeds warrants this product to be free from defects in material and workm
24829	modern bohemian butter dish	Serving Dishes & Platters	Kitchen & Tabletop / Tableware & Drinkware / Serveware / Condiment & Snack Serveware / Butter Dishes	theme : no theme|pattern : geometric|overallwidth-sidetoside:3.5|productcare : dishwasher safe|color : white/black|holidayoccasion : no holiday|primarymaterial : ceramic|overallproductweight:1.35|producttype : butter dish|overallheight-basetotop:4|supplierintendedandapproveduse : non residential use|primarymaterial : porcelain china|shape : round|dsprimaryproductstyle : modern|overalllength-endtoend:3.5|uniformpackagingandlabelingregulationsuplrcompliant : no|cheeseknivesandtoolsincluded : no|ptfefree : no|canadaproductrestriction : no|lidincluded : no|commercialwarranty : no|additionalpieces
24417	half round concrete free standing umbrella base	Patio Umbrella Stands & Bases	Outdoor / Outdoor Shades / Outdoor Umbrellas / Patio Umbrella Stands & Bases / Concrete Patio Umbrella Stands & Bases	overallheight-toptobottom:13|overallproductweight:22.55|overallwidth-sidetoside:19|material : concrete|durability : weather resistant|neckheight:13|baseheight:1.5|neckdiameter:2.5|baseplacement : free standing base|overalldepth-fronttoback:12|compatibleumbrellaaccessorypartnumber : m150053 ; m150054 ; m150055 ; m150209 ; m150210 ; m150217 ; m150218 ; m150227|color : black|umbrellacompatibility : half round|polecompatibility:2|holediameter:2| : no|wheelsincluded : no|adjustablefit : yes|californiaproposition65warningrequired : yes|removablepoleneck : yes|adultassemblyrequired : yes|countryofori
30064	pool lounge , floating pong table with social floating	Beer Pong	Furniture / Game Tables & Game Room Furniture / Beer Pong Tables & Accessories	overallproductweight:4|overallheight-toptobottom:6|overalllength-endtoend:72|overallwidth-sidetoside:36|warrantylength:6 months|producttype : floating beer pong|piecesincludednew : table|primarymaterial : plastic|color : white|briefcasefoldable : no| : no|licensedproduct : no|productwarranty : yes|countryoforigin : china
26630	glass bell lamp shade ( screw on )	Lighting Shades	Lighting / Light Bulbs & Hardware / Light Shades / Beige Light Shades	primarymaterial : glass|overalldepth-fronttoback:4|topwidth-sidetoside:2.25|color : white faux alabaster|dssecondaryproductstyle : transitional traditional|style : traditional|supplierintendedandapproveduse : non residential use|attachmenttype : screw on|overallwidth-sidetoside:5.47|overallwidth-sidetoside:4|overallheight-toptobottom:5.25|overallheight-toptobottom:5.24|theme : no theme|overallproductweight:0.6|overalldepth-fronttoback:5.47|producttype : lamp shade|fittersize:2.25|shape : bell|overallproductweight:1| : no|commercialwarranty : yes|fitterincluded : yes|countryoforigin : china|sup
10122	cassidy™ towel hook	Towel & Robe Hooks	Home Improvement / Bathroom Remodel & Bathroom Fixtures / Towel Storage / Towel & Robe Hooks / Nickel Towel & Robe Hooks	warrantylength : lifetime|reasonforrestriction : distribution conflict|overallwidth-sidetoside:2.5|toolsneededforinstallation : screwdriver or drill|warrantydetails : hardware and finish warranty|finish : brilliance stainless|mounttype : wall mounted|reasonforrestriction : dual language|finish : brilliance champagne bronze|supplierintendedandapproveduse : non residential use|warrantylength:5 years|lsbinvestmentskus : jossmain|overalldepth-fronttoback:3.88|finish : chrome|finish : brilliance polished nickel|style : modern & contemporary|overallheight-toptobottom:4.63|reasonforrestriction : logi
6203	black fixed desktop mount holds up to 110 lbs	TV Mounts	Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / TV Mounts / Desktop Mount TV Mounts	adjustability : fixed|overallwidth-sidetoside:3.5|overallproductweight:5.8|color : black|compatiblescreensize : greater than 50 '' |compatibletvtype : lcd|weightcapacity:110|compatiblescreensize : less than 20 '' |minimumdepthfromwall:0|warrantylength : lifetime|compatibletvtype : plasma|compatiblescreensize:47 '' - 50 '' |compatibletvtype : led|overallheight-toptobottom:2.5|mounttype : desktop mount|compatiblescreensize:41 '' - 46 '' |compatiblescreensize:20 '' - 27 '' |compatiblescreensize:33 '' - 40 '' |compatiblescreensize:28 '' - 32 '' |compatibletvbrand : universal|maximumdepthfromwall:1
22273	purist wall mounted towel ring	Towel Rings	Home Improvement / Bathroom Remodel & Bathroom Fixtures / Towel Storage / Towel Rings / Open Towel Rings	ringtype : open|finish : |countryoforigin : united states|overalldepth-fronttoback:3.25|ringshape : rectangular|warrantylength : lifetime|countryoforigin-additionaldetails : made in usa|warrantydetails : lifetime limited|style : modern & contemporary|overallproductweight:1.27|overallwidth-sidetoside:8.87|overallheight-toptobottom:7| : no|canadaproductrestriction : no|csacertified : no|adacompliant : no|productwarranty : yes|commercialwarranty : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|primarymaterial : metal|primarymaterialdetails : metal|fullorlimitedwarranty : limited|su
28738	heavy duty shelving	Greenhouse Accessories	Outdoor / Garden / Greenhouse Supplies	finish : silver|countryoforigin : israel|overallproductweight:5.5|overalldepth-fronttoback:16.5|overallheight-toptobottom:3|additionalmaterials : steel|overallwidth-sidetoside:25|producttype : shelving|shelfweightcapacity:90|primarymaterialdetails : aluminum|numberofshelves:1|stainresistant : no|mildewresistant : no|accessoryincluded : no|californiaproposition65warningrequired : no|scratchresistant : no| : no|powercordincluded : no|ventsincluded : no|fireresistant : no|removableshelves : yes|compatibility : yes|adjustableshelves : yes|shelvesincluded : yes|lightweight : yes|weatherresistant :
33909	spode christmas tree bake loaf pan	Bread & Loaf Pans	Kitchen & Tabletop / Cookware & Bakeware / Baking Sheets & Pans / Bread & Loaf Pans / Ceramic Bread & Loaf Pans	overallproductweight:2.5|overallheight-toptobottom:4|color : while/green|overallwidth-sidetoside:6.25|maximumtemperature:225|overalllength-endtoend:12.75|holidayoccasion : christmas|productcare : dishwasher safe|producttype : loaf pan|shape : rectangular|primarymaterial : ceramic|enameled : no|lidincluded : no|insertincluded : no|nonstick : no|set : no|ptfefree : yes|pfoafree : yes|microwavesafe : yes|dishwashersafe : yes|countryoforigin : china
38974	indoor/outdoor spun polyester chaise lounge cushion	Furniture Cushions	Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Chaise Lounge Patio Furniture Cushions	overallproductweight:7|pattern : geometric|durability : mildew resistant|cushionfillmaterial : polyester|productcarecleaning : hand wash|cushionattachmenttype : cushion ties|producttype : seat/back cushion|furnituretype : chaise lounge cushion|cushioncovermaterialdetails : spun polyester|backcushionthickness:3.5|holidayoccasion : no holiday|durability : fade resistant|overallthickness:4|seatcushionthickness:4|countryoforigin : united states|seatcushionwidth-sidetoside:22|backcushionheight:26.5|durability : weather resistant|warrantylength:1 year|overalldepth-fronttoback:72|durability : uv resi
18399	storage cabinet	Lockers	School Furniture and Supplies / School Furniture / School Storage / Lockers / All Lockers	warrantylength:1 year|overallwidth-sidetoside:14.25|producttype : storage cabinet|overalldepth-fronttoback:17.99|overallheight-toptobottom:46.38|overallproductweight:37|carbphaseiicompliantformaldehydeemissions : no|firerated : no|commercialwarranty : no|canadaproductrestriction : no|taacompliant : yes|laceyactcompliant : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|adultassemblyrequired : yes|gsaapproved : yes|compositewoodproductcwp : yes|greenguardcertified : yes|nfpacompliant : yes|scscertified : yes|productwarranty : yes|cpsc-16cfr1303compliant : yes|greenguardgoldcertifi
24767	low pile carpet beveled edge chair mat	Chairmats	Furniture / Office Furniture / Chair Mats / Low Pile Carpet Chair Mats	edgetype : beveled|floortype : low pile carpet|pattern : solid color|weightcapacity:250|shape : standard lip|lipwidth-sidetoside:25|lipwidth-sidetoside:19|countryoforigin : united states|materialdetails : vinyl|overallwidth-sidetoside:36|material : plastic|matthickness:0.12|backingtype : textured|overalldepth-fronttoback:60|overallwidth-sidetoside:45|overalldepth-fronttoback:53|lipdepth-fronttoback:12|supplierintendedandapproveduse : non residential use|overalldepth-fronttoback:48|color : clear|lipdepth-fronttoback:10|overallproductweight:16.7|sor2016-176compliant : no|cpsc-16cfr1631compliant
19335	pleasures of wine personalized bar sign wall décor	Wall Décor	Décor & Pillows / Wall Décor / Wall Accents / Red Wall Accents	subject : food and beverage|color : beige/red|individualpieceheight-toptobottom:21|overallheight-toptobottom:21|shape : rectangle|countryoforigin : united states|orientation : vertical only|woodspecies : birch|overallproductweight:4.6|compatiblesurfacetype : multi-surface|individualpieceweight:4.6|subject : text|primarymaterialdetails : birch|overallheight-toptobottom:15.5|largestdimension:15.5|style : modern & contemporary|overallwidth-sidetoside:11.5|individualpiecewidth-sidetoside:16|overallwidth-sidetoside:16|individualpiecedepth-fronttoback:0.5|primarymaterial : wood|holidayoccasion : no
11337	anti-fatigue standing comfort footrest	Ergonomic Accessories	Ergonomic Accessories	overallwidth-sidetoside:22|producttype : footrest|primarymaterial : foam|overalldepth-fronttoback:18|overallheight-toptobottom:0.75|overallproductweight:2.4|warrantylength:60 days| : no|scscertified : no|outdooruse : no|commercialwarranty : no|canadaproductrestriction : no|csacertified : no|cpsc-16cfr1303compliant : no|taacompliant : no|hfes100certifiedergonomic : no|leedprojectappropriate : no|cullisted : no|ansisohos65smallofficehomeoffice : no|gsaapproved : no|bifmag1ergonomicsguidelineforfurniture : no|bifmahcf8.1-healthcarefurnituredesign : no|adacompliant : no|ullisted : no|nfpacompliant
28774	muslin baby sleeping bag	Baby Blankets	Baby & Kids / Nursery Bedding / Baby Blankets & Quilts	material : muslin|productcare : machine wash cold with like color , do not bleach , and tumble dry low|overallthickness:0.15|holidayoccasion : no holiday|producttype : baby sleeping bag|countryoforigin-additionaldetails : made in china|color : navy|sleepingsacklength-headtotoe:28|materialdetails : cotton muslin|overallwidth-sidetoside:18|overallproductweight:0.5|gender : gender neutral|organic : no| : no|sor2016-194-textileflammabilityregulations : no|canadaproductrestriction : no|productwarranty : no|astmf1917-12compliant : no|uniformpackagingandlabelingregulationsuplrcompliant : no|oeko-texc
13663	cc3 grill cover - fits up to 34 ''	Covers & Carry Bags	Storage & Organization / Garage & Outdoor Storage & Organization / Outdoor Covers / Grill Covers / Gas Grill Grill Covers	overallwidth-sidetoside:34|producttype : grill cover|finish : black|fullorlimitedwarranty : full|interiorliningmaterial : vinyl|compatiblewith : gas grill|overallheight-toptobottom:16.5|overallproductweight:1.805|warrantylength:1 year|exteriormaterial : vinyl|productdesign : hook & loop fastener|overalldepth-fronttoback:23|faderesistant : no|adacompliant : no|sportsthemed : no|commercialwarranty : no|pocketorstoragepouchincluded : no|mildewresistant : no|handles : no|nsfcertified : no|airventincluded : no|heatresistant : no|csacertified : no| : no|canadaproductrestriction : no|slipresistant :
34754	aloha pineapple cotton sham	Bedding Accessories	Bed & Bath / Bedding / Pillow Shams & Euro Shams / Sham Pillow Shams & Euro Shams	overallheight-toptobottom:21|pattern : no pattern and not solid color|holidayoccasion : no holiday|closuretype : envelope|overallwidth-sidetoside:37|theme : no theme|dsprimaryproductstyle : coastal|primarymaterial:100 % cotton|cleaningmethod : machine wash|overallwidth-sidetoside:27|producttype : sham|gender : neutral|dryingmethod : tumble dry|color : blue|numberofpiecesincluded:1|overallthickness-fronttoback:1|overallproductweight:2|pillowprotectorincluded : no|canopyringincluded : no|productwarranty : no|certifications : no|gots50globalorganictextilestandardcompliant : no|textureembroidery :
21391	wooden lift-top kids piece activity table and chair set	Kids Tables and Sets	Baby & Kids / Toddler & Kids Playroom / Playroom Furniture / Toddler & Kids Table & Chair Sets / Rectangle Toddler & Kids Table & Chair Sets	agegroup:5 to 7 years|piecesincluded:1 table and 1 chair|seatingmaterial : wood|dsprimaryproductstyle : traditional|theme : car and fire truck|tableshape : rectangular|tablebasecolor : gray|tablelength-endtoend:18.1|seatingweightcapacity:100|productcare : wipe clean with a dry cloth|seatingtype : standard chair|overallproductweight:22.5|tablebasematerial : solid + manufactured wood|tabledepth-fronttoback:6.5|tabletopcolor : gray|tabletopmaterialdetails : oak|tabletopmaterial : solid + manufactured wood|seatingcolor : gray|designuse : activity table|seatheight-floortoseat:11.25|warrantylength:1
29433	camron l-shape executive desk	Desks	Furniture / Office Furniture / Desks / Executive Desks	topmaterial : manufactured wood|basecolor : white|shape : l-shape|basematerial : manufactured wood + solid wood|dsprimaryproductstyle : modern|overallwidth-sidetoside:63|desktopdepth-fronttoback:28|woodconstructiontype : manufactured wood with laminate|style : modern & contemporary|overallproductweight:222|desktype : executive desk|woodmetallegs : wood legs|overallheight-toptobottom:30|overalldepth-fronttoback:28|basematerial : manufactured wood|cabinetinteriorheight-toptobottom:24|topmaterialdetails : mdf|woodtop : wood top|dssecondaryproductstyle : transitional modern|desktopwidth-sidetoside
